ID,Data Campionamento,Totalizzato (m3),Componenti nucleo,STAZIONE,TEMPERATURA MINIMA,TEMPERATURA MASSIMA,UMIDITA MINIMA,UMIDITA MASSIMA,PRECIPITAZIONI (mm),VENTO m/s,DIREZIONE
324052,20/08/23 00:00,166.742,1,MANTOVA CAMPO CANOA,28,29.3,67,71,0,0.6,90
324052,20/08/23 01:00,166.742,1,MANTOVA CAMPO CANOA,26.3,28.1,72,78,0,0.1,45
324052,20/08/23 02:00,166.742,1,MANTOVA CAMPO CANOA,25.1,26.3,78,84,0,0.1,45
324052,20/08/23 03:00,166.742,1,MANTOVA CAMPO CANOA,24.7,25.2,84,86,0,0,45
324052,20/08/23 04:00,166.742,1,MANTOVA CAMPO CANOA,24.1,24.9,85,87,0,0.1,45
324052,20/08/23 05:00,166.742,1,MANTOVA CAMPO CANOA,23.7,24.2,87,89,0,0,45
324052,20/08/23 06:00,166.812,1,MANTOVA CAMPO CANOA,23.7,24.2,85,88,0,0.1,45
324052,20/08/23 07:00,166.812,1,MANTOVA CAMPO CANOA,23.7,23.9,87,89,0,0,45
324052,20/08/23 08:00,166.812,1,MANTOVA CAMPO CANOA,23.8,24.9,85,88,0,0,45
324052,20/08/23 09:00,166.812,1,MANTOVA CAMPO CANOA,25,27.5,78,86,0,0,45
324052,20/08/23 10:00,166.822,1,MANTOVA CAMPO CANOA,27.5,30.4,67,78,0,0.1,45
324052,20/08/23 11:00,166.822,1,MANTOVA CAMPO CANOA,30.5,32,62,67,0,0.7,203
324052,20/08/23 12:00,166.85,1,MANTOVA CAMPO CANOA,31,31.7,59,65,0,2.3,180
324052,20/08/23 13:00,166.856,1,MANTOVA CAMPO CANOA,30.5,33.8,56,62,0,1.8,180
324052,20/08/23 14:00,166.891,1,MANTOVA CAMPO CANOA,31.4,35.3,52,58,0,1.6,180
324052,20/08/23 15:00,166.891,1,MANTOVA CAMPO CANOA,33.5,35.5,47,56,0,1.4,180
324052,20/08/23 16:00,166.891,1,MANTOVA CAMPO CANOA,34.6,37.3,45,50,0,0.8,203
324052,20/08/23 17:00,166.891,1,MANTOVA CAMPO CANOA,36.2,38.4,42,48,0,0.9,248
324052,20/08/23 18:00,166.938,1,MANTOVA CAMPO CANOA,36.4,38.6,43,49,0,0.9,113
324052,20/08/23 19:00,166.957,1,MANTOVA CAMPO CANOA,35,37.8,45,50,0,1,113
324052,20/08/23 20:00,166.957,1,MANTOVA CAMPO CANOA,31,36.1,47,56,0,0.5,90
324052,20/08/23 21:00,166.957,1,MANTOVA CAMPO CANOA,31.3,32.4,56,66,0,1.2,113
